id,epic,phase,priority,status,outcome,dependencies,release_gate,milestone,epic_id,owner,reviewer,estimate_band,acceptance_artifact,risk_decision_links,blocked_reason
ARG-013,Domain lifecycle,0,P0,Proposed,Approve independent lifecycle and status communication policies,ARG-005;ARG-012,Architecture,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-014,Campaign policy,0,P0,Proposed,Approve invite referral eligibility quota and waitlist policy,ARG-010;ARG-012,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-015,Partner policy,0,P0,Proposed,Approve aggregate only pilot partner data boundary,ARG-006;ARG-012,Privacy,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-016,Brand claims,0,P0,Proposed,Approve luxury inclusive content and trust claims system,ARG-003;ARG-004;ARG-006,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-017,Commerce boundary,0,P0,Proposed,Decide pilot commerce contracts refunds and referral economics,ARG-006;ARG-010,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-018,Consent prototype,0,P0,Proposed,Prototype and test first time application and consent,ARG-003;ARG-012;ARG-016,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-019,API compatibility,0,P0,Proposed,Approve API evolution and mobile compatibility policy,ARG-005,Architecture,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-020,AI contracts,0,P0,Proposed,Approve AI use case contracts and evaluation gates,ARG-006;ARG-007,AI,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-021,Analytics architecture,0,P0,Proposed,Approve analytics events attribution metrics and privacy architecture,ARG-006;ARG-011,Data,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-022,Processing register,0,P0,Proposed,Complete processing retention rights and subprocessor register,ARG-006;ARG-013,Privacy,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-023,Content governance,0,P0,Proposed,Approve content taxonomy rights and publishing governance,ARG-016;ARG-022,Product,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-024,Traceability,0,P0,Proposed,Establish requirement to delivery traceability,ARG-009;ARG-011,Planning,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-025,Ownership,0,P0,Proposed,Assign launch RACI and critical risk ownership,ARG-009,Planning,Decision gate,EPIC-0,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-100,Repository governance,1,P0,Proposed,Configure Git remote branch protection CI reviewers and PR workflow,ARG-025,Engineering,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,R-020,""
ARG-101,Platform foundation,1,P0,Proposed,Scaffold TypeScript Flutter monorepo and domain boundaries,ARG-009;ARG-013;ARG-019,Architecture,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-102,API contracts,1,P0,Proposed,Establish OpenAPI and generated TypeScript Dart clients,ARG-019;ARG-101,Architecture,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-103,Developer experience,1,P0,Proposed,Build reproducible Docker development environment,ARG-101,Engineering,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-104,CI security,1,P0,Proposed,Establish CI tests scans and branch gates,ARG-101;ARG-103,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-105,Deployment,1,P0,Proposed,Select deployment approach and provision staging,ARG-116;ARG-101,Operations,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-106,Configuration,1,P0,Proposed,Establish environment configuration and managed secrets,ARG-105,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-107,Data foundation,1,P0,Proposed,Establish migrations seeds and synthetic fixtures,ARG-101,Data,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-108,Observability,1,P0,Proposed,Establish redacted logs metrics traces and alerts,ARG-105;ARG-106,Operations,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-109,Recovery,1,P0,Proposed,Establish backups recovery and restore reconciliation,ARG-105;ARG-107,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-110,Jobs,1,P0,Proposed,Establish durable jobs retries and dead letter recovery,ARG-112;ARG-101;ARG-105,Architecture,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-111,Release safety,1,P0,Proposed,Establish feature flags deployment checks and rollback,ARG-104;ARG-105;ARG-108,Operations,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-112,Event delivery,1,P0,Proposed,Implement transactional outbox webhook inbox and job registry,ARG-107;ARG-101,Architecture,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-113,Container security,1,P0,Proposed,Harden production containers and singleton migration execution,ARG-104;ARG-105,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-114,Analytics pipeline,1,P0,Proposed,Establish privacy safe analytics event pipeline,ARG-021;ARG-105;ARG-110,Data,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-115,Data quality,1,P0,Proposed,Establish data quality monitoring and reconciliation,ARG-107;ARG-108;ARG-112,Data,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-116,Production topology,1,P0,Proposed,Define production topology SLOs capacity and scaling policy,ARG-007;ARG-009,Operations,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-117,Documentation,1,P0,Proposed,Establish documentation governance and drift checks,ARG-104;ARG-024,Planning,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-118,Design system,1,P0,Proposed,Establish cross platform design tokens generated outputs and foundational components,ARG-004;ARG-101,Product,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,plans/design-system.md,DEC-005;DEC-011;R-037,""
ARG-201,Identity,1,P0,Proposed,Integrate authentication MFA recovery and sessions,ARG-008;ARG-101;ARG-106,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-202,Authorization,1,P0,Proposed,Implement deny by default RBAC and object authorization,ARG-005;ARG-201,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-203,Staff administration,1,P0,Proposed,Implement staff roles and privileged access review,ARG-202,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-204,Partner access,1,P0,Proposed,Implement controlled partner access grants,ARG-006;ARG-202;ARG-205,Privacy,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-205,Audit,1,P0,Proposed,Implement append only consequential audit events,ARG-107;ARG-202,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-206,Consent,1,P0,Proposed,Implement consent and notice versioning,ARG-005;ARG-006;ARG-107;ARG-205,Privacy,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-207,Privacy rights,1,P0,Proposed,Implement access correction withdrawal and deletion orchestration,ARG-206;ARG-109;ARG-110,Privacy,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-208,Media security,1,P0,Proposed,Implement private uploads scanning stripping and signed access,ARG-007;ARG-008;ARG-105;ARG-110,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-209,Abuse prevention,1,P0,Proposed,Implement rate limits bot and invite abuse controls,ARG-007;ARG-201,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-210,Communications consent,1,P0,Proposed,Implement channel and purpose specific preferences,ARG-206,Privacy,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-211,Incident access,1,P0,Proposed,Establish incident and break glass workflows,ARG-202;ARG-205;ARG-108,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-212,Consent revocation,1,P0,Proposed,Implement consent withdrawal propagation and use invalidation,ARG-205;ARG-206;ARG-207;ARG-112,Privacy,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-213,Partner revocation,1,P0,Proposed,Implement partner access recertification and emergency revocation,ARG-204;ARG-205;ARG-211,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-214,Intake safety,1,P0,Proposed,Implement intake moderation impersonation reporting and safety escalation,ARG-202;ARG-205;ARG-209;ARG-211,Security,Operational alpha,EPIC-1,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-301,Campaigns,2,P1,Proposed,Implement campaign lifecycle and configuration,ARG-013;ARG-014;ARG-202;ARG-205,Campaign,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-302,Campaign branding,2,P1,Proposed,Implement controlled branding preview and approval,ARG-004;ARG-118;ARG-301;ARG-311,Campaign,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-303,Campaign geography,2,P1,Proposed,Implement coarse geographic eligibility rules,ARG-006;ARG-301,Privacy,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-304,Invites referrals,2,P1,Proposed,Implement invite codes referral attribution limits and expiry,ARG-209;ARG-301,Campaign,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-305,Campaign capacity,2,P1,Proposed,Implement quotas waitlist pause and closure,ARG-301,Campaign,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-306,Campaign schema,2,P1,Proposed,Implement versioned campaign questions,ARG-005;ARG-301,Data,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-307,Partner reporting,2,P1,Proposed,Implement aggregate partner campaign reporting,ARG-204;ARG-310,Privacy,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-308,Campaign closure,2,P1,Proposed,Implement closure access review and retention actions,ARG-204;ARG-207;ARG-301,Privacy,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-309,Campaign web,2,P1,Proposed,Implement accessible public campaign landing pages,ARG-118;ARG-302;ARG-303,Campaign,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-310,Campaign analytics,2,P1,Proposed,Implement privacy safe campaign attribution analytics,ARG-021;ARG-114;ARG-304,Data,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-311,Content publishing,2,P1,Proposed,Implement versioned campaign content and publishing workflow,ARG-205;ARG-023;ARG-301,Campaign,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-401,Applications,2,P1,Proposed,Implement accounts and resumable applications,ARG-018;ARG-201;ARG-206;ARG-309;ARG-311,Intake,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-402,Applications,2,P1,Proposed,Implement core form review and submission,ARG-306;ARG-401,Intake,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-403,Applications,2,P1,Proposed,Implement profile media and document uploads,ARG-208;ARG-401,Intake,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-404,Data quality,2,P1,Proposed,Implement duplicate person detection and review,ARG-107;ARG-401,Data,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-405,Admission,2,P1,Proposed,Implement applicant lifecycle and controlled transitions,ARG-005;ARG-202;ARG-205;ARG-402,Intake,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-406,Staff workflow,2,P1,Proposed,Implement review queue and information requests,ARG-118;ARG-203;ARG-405,Intake,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-407,Interviews,2,P1,Proposed,Implement scheduling notes and recording consent,ARG-206;ARG-405,Privacy,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-408,Verification,2,P1,Proposed,Implement provider neutral verification case and manual pilot workflow,ARG-006;ARG-013;ARG-405,Security,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-409,Applicant self service,2,P1,Proposed,Implement status support withdrawal and correction,ARG-207;ARG-405,Intake,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-410,Notifications,2,P1,Proposed,Implement transactional email delivery for the pilot,ARG-008;ARG-110;ARG-210,Operations,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-411,Onboarding,2,P1,Proposed,Implement accepted candidate and client onboarding,ARG-405;ARG-408,Intake,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-412,Admission appeals,2,P1,Proposed,Implement admission communication correction and appeal,ARG-205;ARG-405;ARG-409,Intake,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-413,Verification integration,2,P1,Proposed,Integrate automated verification provider after pilot validation,ARG-008;ARG-408,Security,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-414,SMS expansion,2,P2,Proposed,Add SMS after consent and channel value validation,ARG-210;ARG-410,Expansion,Consenting pilot,EPIC-2,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-501,Profiles,3,P1,Proposed,Implement candidate and client profiles with provenance,ARG-411,Matchmaking,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-502,Match criteria,3,P1,Proposed,Implement hard soft and unknown match criteria,ARG-005;ARG-501,Matchmaking,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-503,Search,3,P1,Proposed,Implement permission aware candidate search and filters,ARG-202;ARG-501;ARG-502,Matchmaking,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-504,Shortlists,3,P1,Proposed,Implement saved searches and shortlist collaboration,ARG-503,Matchmaking,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-505,Recommendations,3,P1,Proposed,Implement human match recommendation and rationale,ARG-504;ARG-205,Matchmaking,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-506,Approvals,3,P1,Proposed,Implement independent mutual introduction approval,ARG-505;ARG-210,Matchmaking,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-507,Introductions,3,P1,Proposed,Implement controlled introduction delivery and status,ARG-506;ARG-410,Matchmaking,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-508,Feedback,3,P1,Proposed,Implement date feedback follow up and visibility rules,ARG-507;ARG-202,Matchmaking,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-509,Outcomes,3,P1,Proposed,Implement relationship outcomes and availability refresh,ARG-508,Data,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-510,Safety,3,P1,Proposed,Implement reporting blocking safety cases and escalation,ARG-202;ARG-205;ARG-211;ARG-214;ARG-507,Security,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-511,Support,3,P1,Proposed,Implement audited support and recovery tools,ARG-203;ARG-205;ARG-405;ARG-507,Operations,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-512,Safety governance,3,P1,Proposed,Implement moderation takedown dispute and evidence governance,ARG-205;ARG-510,Security,Consenting pilot,EPIC-3,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-601,AI foundation,4,P2,Proposed,Establish AI provider boundary policy and kill switches,ARG-006;ARG-007;ARG-008;ARG-110,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-602,AI summary,4,P2,Proposed,Implement structured evidence backed application summaries,ARG-402;ARG-607;ARG-608;ARG-611,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-603,AI data quality,4,P2,Proposed,Implement missing and conflicting information assistance,ARG-501;ARG-607;ARG-608;ARG-611,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-604,AI interview,4,P2,Proposed,Implement source grounded interview question suggestions,ARG-407;ARG-607;ARG-608;ARG-611,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-605,AI retrieval,4,P2,Proposed,Implement deterministic filters plus explainable retrieval,ARG-503;ARG-607;ARG-608;ARG-611,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-606,AI matching,4,P2,Proposed,Implement human reviewed match suggestions,ARG-505;ARG-607;ARG-608;ARG-611,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-607,AI evaluation,4,P2,Proposed,Build evaluation fixtures rubrics and thresholds,ARG-601,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-608,AI safety,4,P2,Proposed,Build inference privacy leakage and injection tests,ARG-607,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-609,AI observability,4,P2,Proposed,Implement version cost latency and quality monitoring,ARG-108;ARG-601;ARG-607,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-610,AI review,4,P2,Proposed,Implement edit override disposition and audit history,ARG-205;ARG-602;ARG-606,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-611,AI consent provenance,4,P2,Proposed,Enforce consent authorization and provenance at AI execution,ARG-020;ARG-205;ARG-206;ARG-601,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-612,AI operations,4,P2,Proposed,Implement AI sampling drift quarantine and rollback,ARG-607;ARG-608;ARG-609,AI,Private beta,EPIC-4,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-701,Flutter foundation,5,P2,Proposed,Scaffold Flutter architecture environments generated client and Argent theme adapters,ARG-019;ARG-102;ARG-118;ARG-201,Mobile,Private beta,EPIC-5,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-702,Flutter identity,5,P2,Proposed,Implement secure mobile authentication and sessions,ARG-201;ARG-701,Mobile,Private beta,EPIC-5,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-703,Flutter profile,5,P2,Proposed,Implement profile consent and privacy controls,ARG-207;ARG-501;ARG-702,Mobile,Private beta,EPIC-5,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-704,Flutter introductions,5,P2,Proposed,Implement introduction approve and decline workflows,ARG-506;ARG-702,Mobile,Private beta,EPIC-5,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-705,Flutter push,5,P2,Proposed,Implement privacy safe push and preferences,ARG-210;ARG-410;ARG-701,Mobile,Private beta,EPIC-5,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-706,Flutter feedback,5,P2,Proposed,Implement feedback support and safety workflows,ARG-508;ARG-510;ARG-702,Mobile,Private beta,EPIC-5,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-707,Flutter quality,5,P2,Proposed,Implement accessibility analytics crash redaction and QA,ARG-701;ARG-706,Mobile,Private beta,EPIC-5,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-708,Flutter release,5,P2,Proposed,Complete signing store privacy beta and release pipelines,ARG-104;ARG-105;ARG-707,Mobile,Private beta,EPIC-5,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-801,Quality,6,P1,Proposed,Complete responsive cross platform and accessibility verification,ARG-118;ARG-309;ARG-409;ARG-511;ARG-707,Launch,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-802,Security testing,6,P1,Proposed,Complete authorization abuse and negative path tests,ARG-202;ARG-209;ARG-510,Security,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-803,Performance,6,P1,Proposed,Complete capacity model and load tests,ARG-108;ARG-309;ARG-503,Operations,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-804,Security audit,6,P1,Proposed,Complete independent penetration test and remediation,ARG-802,Security,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-805,Launch governance,6,P1,Proposed,Complete privacy legal and partner contract review,ARG-006;ARG-308;ARG-804,Privacy,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-806,Recovery test,6,P1,Proposed,Complete restore and consent deletion reconciliation exercise,ARG-109;ARG-207,Security,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-807,Incident rehearsal,6,P1,Proposed,Complete incident and provider outage tabletop exercises,ARG-211;ARG-601,Operations,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-808,Operational rehearsal,6,P1,Proposed,Run synthetic end to end operational rehearsal,ARG-801;ARG-802;ARG-803;ARG-806;ARG-807,Launch,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-809,Consenting beta,6,P1,Proposed,Run small explicitly consenting usability beta,ARG-804;ARG-805;ARG-808,Launch,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-810,Campaign launch,6,P1,Proposed,Configure Montecito Santa Barbara controlled campaign,ARG-302;ARG-305;ARG-309;ARG-310;ARG-809,Campaign,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-811,Go live,6,P1,Proposed,Conduct production go no-go and controlled launch,ARG-805;ARG-810,Launch,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
ARG-812,Post launch,6,P1,Proposed,Monitor campaign and complete retrospective,ARG-811,Launch,Pilot launch,EPIC-6,Unassigned,Unassigned,TBD,Required at Ready,"",""
